day,Susceptible,InfectiousX,InfectiousY,InfectiousXY,StayAtHomeX,StayAtHomeY,StayAtHomeXY,StayInHospitalX,StayInHospitalY,StayInHospitalXY,StayInICUX,StayInICUY,StayInICUXY,RecoveredX,RecoveredY,RecoveredXY,DeadX,DeadY,DeadXY
0.0,8999900.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,8999832.232639916,81.3039039417536,0.0,0.0,79.95004543208172,0.0,0.0,0.05023363199966468,0.0,0.0,0.5003117514952564,0.0,0.0,5.960742160956518,0.0,0.0,0.0021231676732760695,0.0,0.0
2.0,8999725.10287071,100.11714217025433,0.0,0.0,151.5865594433275,0.0,0.0,0.09524376630455052,0.0,0.0,0.9452765679157609,0.0,0.0,22.1450388691647,0.0,0.0,0.007868482975963959,0.0,0.0
3.0,8999558.607020985,145.8867223344004,0.0,0.0,244.20694113966877,0.0,0.0,0.15343833198187679,0.0,0.0,1.5190337863283925,0.0,0.0,49.609253750027875,0.0,0.0,0.01758967413009306,0.0,0.0
4.0,8999300.828887733,222.4947994489979,0.0,0.0,381.10162012778756,0.0,0.0,0.23945100264187305,0.0,0.0,2.366804605867657,0.0,0.0,92.93554193743766,0.0,0.0,0.032895146088945365,0.0,0.0
5.0,8998902.073591167,342.99958949542923,0.0,0.0,590.5945244320876,0.0,0.0,0.371078063070538,0.0,0.0,3.664413199458526,0.0,0.0,160.24016103939908,0.0,0.0,0.05664258509095684,0.0,0.0
6.0,8998285.387883639,530.0511762418708,0.0,0.0,913.7927719061257,0.0,0.0,0.5741476390639569,0.0,0.0,5.666696603885844,0.0,0.0,264.4339438780295,0.0,0.0,0.09338008728802143,0.0,0.0
7.0,8997331.774739144,819.5129570665492,0.0,0.0,1413.3061463642566,0.0,0.0,0.8879982553560591,0.0,0.0,8.761673060328564,0.0,0.0,425.60630115427347,0.0,0.0,0.1501849622607349,0.0,0.0
8.0,8995857.326379612,1267.0827559453523,0.0,0.0,2185.5717005576985,0.0,0.0,1.3732225406671432,0.0,0.0,13.546962507454763,0.0,0.0,674.8609642779692,0.0,0.0,0.23801458854256738,0.0,0.0
9.0,8993577.962524308,1958.8408035930006,0.0,0.0,3379.4617543507957,0.0,0.0,2.123358869998569,0.0,0.0,20.94511161706172,0.0,0.0,1060.292635649931,0.0,0.0,0.37381164525908883,0.0,0.0
