day,Susceptible,InfectiousX,InfectiousY,InfectiousXY,StayAtHomeX,StayAtHomeY,StayAtHomeXY,StayInHospitalX,StayInHospitalY,StayInHospitalXY,StayInICUX,StayInICUY,StayInICUXY,RecoveredX,RecoveredY,RecoveredXY,DeadX,DeadY,DeadXY
0.0,8999900.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,8999878.061174512,0.0,50.79146516282781,0.0,0.0,63.74093355241734,0.0,0.0,0.0258265838318261,0.0,0.0,0.0025535972573879286,0.0,0.0,7.3780154156003475,0.0,0.0,3.118336756169921E-5,0.0
2.0,8999853.883042417,0.0,34.052627974151825,0.0,0.0,89.02448005133814,0.0,0.0,0.0360709840441835,0.0,0.0,0.0035237708937146373,0.0,0.0,23.00015828377365,0.0,0.0,9.651958136315101E-5,0.0
3.0,8999828.206769815,0.0,28.82508274451684,0.0,0.0,100.82562880260247,0.0,0.0,0.04085257948921628,0.0,0.0,0.003945326542404821,0.0,0.0,42.097545265422596,0.0,0.0,1.7546445654870548E-4,0.0
4.0,8999801.264105428,0.0,27.69820813555146,0.0,0.0,107.9817406820629,0.0,0.0,0.04375209653524172,0.0,0.0,0.004183028885634282,0.0,0.0,63.00774966493112,0.0,0.0,2.6097801507142716E-4,0.0
5.0,8999773.1053411,0.0,28.052548691376327,0.0,0.0,113.62339305721541,0.0,0.0,0.04603798411009308,0.0,0.0,0.004364966857086084,0.0,0.0,85.16796346734705,0.0,0.0,3.5077405239339684E-4,0.0
6.0,8999743.715237513,0.0,28.963078219005663,0.0,0.0,118.86321091707023,0.0,0.0,0.04816105617193786,0.0,0.0,0.0045357575364715925,0.0,0.0,108.4053323540532,0.0,0.0,4.4423090690504097E-4,0.0
7.0,8999713.053962529,0.0,30.104055051544446,0.0,0.0,124.10041535877737,0.0,0.0,0.05028306932769006,0.0,0.0,0.004710682988876266,0.0,0.0,132.68603206445545,0.0,0.0,5.413032759594207E-4,0.0
8.0,8999681.071507923,0.0,31.36173141533721,0.0,0.0,129.48218153352252,0.0,0.0,0.05246365607986015,0.0,0.0,0.004894801095475913,0.0,0.0,158.02657858018475,0.0,0.0,6.421408830632409E-4,0.0
9.0,8999647.71272457,0.0,32.69739234907514,0.0,0.0,135.0668064120211,0.0,0.0,0.054726437224651966,0.0,0.0,0.005089676502633266,0.0,0.0,184.46251364692083,0.0,0.0,7.469564721287892E-4,0.0
10.0,8999612.919036932,0.0,34.09892266683903,0.0,0.0,140.88142334568167,0.0,0.0,0.057082406667171286,0.0,0.0,0.005295739026040922,0.0,0.0,212.03738298111057,0.0,0.0,8.559814576957419E-4,0.0
11.0,8999576.62898054,0.0,35.563681585782646,0.0,0.0,146.94242402367965,0.0,0.0,0.05953820600036354,0.0,0.0,0.0055131001743221435,0.0,0.0,240.79889313535958,0.0,0.0,9.694521614038211E-4,0.0
12.0,8999538.778320333,0.0,37.09244928893159,0.0,0.0,153.26269254327198,0.0,0.0,0.06209905560929904,0.0,0.0,0.005741827966389249,0.0,0.0,270.7976093990444,0.0,0.0,0.0010876065361802843,0.0
13.0,8999499.300017487,0.0,38.68728915107672,0.0,0.0,159.85417614238648,0.0,0.0,0.0647697962819101,0.0,0.0,0.005982033046183005,0.0,0.0,302.0865547575708,0.0,0.0,0.0012106843377646937,0.0
14.0,8999458.124139797,0.0,40.350794848400014,0.0,0.0,166.7288072858144,0.0,0.0,0.06755526282034147,0.0,0.0,0.00623389036893965,0.0,0.0,334.7211300424785,0.0,0.0,0.0013389283078953634,0.0
15.0,8999415.177748479,0.0,42.08582735787791,0.0,0.0,173.8988432598354,0.0,0.0,0.0704604216380732,0.0,0.0,0.006497639955896374,0.0,0.0,368.7591503117948,0.0,0.0,0.0014725855512873485,0.0
16.0,8999370.384773357,0.0,43.89542534110036,0.0,0.0,181.37700033937105,0.0,0.0,0.07349042512183725,0.0,0.0,0.006773581737599193,0.0,0.0,404.2609250887718,0.0,0.0,0.0016119088521438743,0.0
17.0,8999323.665880334,0.0,45.78277698734777,0.0,0.0,189.1765158985961,0.0,0.0,0.07665063679762495,0.0,0.0,0.007062069507290552,0.0,0.0,441.2893569811749,0.0,0.0,0.0017571578684358075,0.0
18.0,8999274.93833211,0.0,47.75121373990709,0.0,0.0,197.3111856557984,0.0,0.0,0.07994664642157928,0.0,0.0,0.00736350552760077,0.0,0.0,479.91004979223027,0.0,0.0,0.0019086002047900507,0.0
19.0,8999224.115843153,0.0,49.80421191576669,0.0,0.0,205.79539276681786,0.0,0.0,0.08338428176808863,0.0,0.0,0.007678336149995269,0.0,0.0,520.1914231051595,0.0,0.0,0.0020665123825839736,0.0
20.0,8999171.10842783,0.0,51.94539727754826,0.0,0.0,214.64413470469358,0.0,0.0,0.0869696195208973,0.0,0.0,0.008007048424941465,0.0,0.0,562.204832405762,0.0,0.0,0.002231180728618538,0.0
21.0,8999115.82224261,0.0,54.17855081677469,0.0,0.0,223.8730500528281,0.0,0.0,0.09070899612917079,0.0,0.0,0.008350167575626753,0.0,0.0,606.0246945483213,0.0,0.0,0.0024029022019120072,0.0
22.0,8999058.159421077,0.0,56.50761513959286,0.0,0.0,233.49844599258847,0.0,0.0,0.0946090189449382,0.0,0.0,0.008708255194778844,0.0,0.0,651.7286186382742,0.0,0.0,0.0025819851752637815,0.0
23.0,8998998.017902317,0.0,58.93670124665269,0.0,0.0,243.53732679121157,0.0,0.0,0.09867657776583515,0.0,0.0,0.009081908038610536,0.0,0.0,699.3975425054948,0.0,0.0,0.002768750185417743,0.0
24.0,8998935.29125189,0.0,61.47009564077465,0.0,0.0,254.00742342895234,0.0,0.0,0.10291885683944745,0.0,0.0,0.009471757312409896,0.0,0.0,749.1158749836817,0.0,0.0,0.0029635306632223757,0.0
25.0,8998869.86847519,0.0,64.1122677465022,0.0,0.0,264.92722444658585,0.0,0.0,0.10734334736211716,0.0,0.0,0.00987846836188794,0.0,0.0,800.9716442322497,0.0,0.0,0.0031666736531789754,0.0
26.0,8998801.63382289,0.0,66.86787764375612,0.0,0.0,276.3160080750906,0.0,0.0,0.11195786049726283,0.0,0.0,0.010302740701232016,0.0,0.0,855.056652351092,0.0,0.0,0.0033785405301477948,0.0
27.0,8998730.466588352,0.0,69.74178412450767,0.0,0.0,288.19387570375545,0.0,0.0,0.11677054093600796,0.0,0.0,0.010745308322720833,0.0,0.0,911.4666365501696,0.0,0.0,0.003599507719682671,0.0
28.0,8998656.240896316,0.0,72.73905308405438,0.0,0.0,300.58178674230203,0.0,0.0,0.12178988102262768,0.0,0.0,0.011206940244064269,0.0,0.0,970.3014371471023,0.0,0.0,0.003829967427429215,0.0
29.0,8998578.825482737,0.0,75.8649662597139,0.0,0.0,313.5015949336111,0.0,0.0,0.12702473546776347,0.0,0.0,0.011688441258764204,0.0,0.0,1031.6651726770074,0.0,0.0,0.004070328382200518,0.0
30.0,8998498.0834652,0.0,79.1250303305157,0.0,0.0,326.9760861754565,0.0,0.0,0.1324843366730476,0.0,0.0,0.012190652862149529,0.0,0.0,1095.6664224104272,0.0,0.0,0.0043210165966954895,0.0
31.0,8998413.87210403,0.0,82.52498639204363,0.0,0.0,341.0290179115836,0.0,0.0,0.1381783106916047,0.0,0.0,0.012714454331661554,0.0,0.0,1162.4184165869385,0.0,0.0,0.004582476149314838,0.0
32.0,8998326.042552875,0.0,86.07081982111751,0.0,0.0,355.68516015467554,0.0,0.0,0.14411669384975384,0.0,0.0,0.013260763944735573,0.0,0.0,1232.039234684408,0.0,0.0,0.004855169990131902,0.0
33.0,8998234.439599274,0.0,89.76877054553027,0.0,0.0,370.9703382059424,0.0,0.0,0.15030995005615694,0.0,0.0,0.013830540321469,0.0,0.0,1304.6520120565801,0.0,0.0,0.005139580773767841,0.0
34.0,8998138.901393985,0.0,93.62534373454399,0.0,0.0,386.91147713831054,0.0,0.0,0.15676898882553736,0.0,0.0,0.014424783882362567,0.0,0.0,1380.3851552843782,0.0,0.0,0.005436211721683117,0.0
35.0,8998039.259169167,0.0,97.647320926459,0.0,0.0,403.5366481127673,0.0,0.0,0.16350518404516284,0.0,0.0,0.015044538413937505,0.0,0.0,1459.372566601213,0.0,0.0,0.005745587516225876,0.0
36.0,8997935.336944604,0.0,101.84177161001497,0.0,0.0,420.8751165995347,0.0,0.0,0.1705303935131217,0.0,0.0,0.01569089273704656,0.0,0.0,1541.7538777649963,0.0,0.0,0.0060682552286416246,0.0
37.0,8997826.951221734,0.0,106.21606527699916,0.0,0.0,438.95739257843314,0.0,0.0,0.1778569792785339,0.0,0.0,0.016364982474353338,0.0,0.0,1627.674693765411,0.0,0.0,0.006404785283162861,0.0
38.0,8997713.910664968,0.0,110.77788396397328,0.0,0.0,457.81528279525327,0.0,0.0,0.18549782881481425,0.0,0.0,0.017067991914791,0.0,0.0,1717.2868467696237,0.0,0.0,0.006755772459236028,0.0
39.0,8997596.015769519,0.0,115.53523530159812,0.0,0.0,477.48194515353896,0.0,0.0,0.19346637705816264,0.0,0.0,0.01780115597390683,0.0,0.0,1810.7486607252847,0.0,0.0,0.007121836933908693,0.0
40.0,8997473.058515584,0.0,120.49646609060709,0.0,0.0,497.99194532383297,0.0,0.0,0.20177662934452475,0.0,0.0,0.0185657622498995,0.0,0.0,1908.2252270557992,0.0,0.0,0.007503625366387677,0.0
41.0,8997344.822007947,0.0,125.67027642406354,0.0,0.0,519.3813156550731,0.0,0.0,0.2104431852793461,0.0,0.0,0.0193631531758956,0.0,0.0,2009.8886918995715,0.0,0.0,0.007901812026781644,0.0
42.0,8997211.080100773,0.0,131.06573437611485,0.0,0.0,541.6876164755913,0.0,0.0,0.21948126357553746,0.0,0.0,0.020194728269629862,0.0,0.0,2115.9185553620378,0.0,0.0,0.008317099971060934,0.0
