day,Susceptible,InfectiousX,InfectiousY,InfectiousXY,StayAtHomeX,StayAtHomeY,StayAtHomeXY,StayInHospitalX,StayInHospitalY,StayInHospitalXY,StayInICUX,StayInICUY,StayInICUXY,RecoveredX,RecoveredY,RecoveredXY,DeadX,DeadY,DeadXY
0.0,8999800.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,8999710.295034988,81.30329874394751,50.79124851498413,4.783418327879914E-4,79.94957486461458,63.74036154161261,2.6496483616421374E-4,0.05023333633613078,0.025826352064197696,2.7465641749666806E-7,0.5003088041230036,0.0025535743070280786,1.6593052158126043E-6,5.960709917761002,7.377936072872434,1.368229329701611E-5,0.0021231580219663966,3.1183125800627805E-5,1.7696816436817952E-8
2.0,8999578.989800414,100.11552497883409,34.052151194853295,7.889764206914503E-4,151.58494101217542,89.02326446104742,8.129527279580466E-4,0.0952427494236413,0.036070491510692214,8.426879848944152E-7,0.9452664530151363,0.003523722503364919,5.039854384038296E-6,22.144834559687464,22.99972021190686,8.688222343628774E-5,0.007868424857387531,9.651860097571316E-5,1.1154723504323048E-7
3.0,8999386.823197419,145.88310175070762,28.824243304826947,0.001369814036220296,244.20286839732955,100.82352385730434,0.0016796904096374476,0.1534357730259838,0.04085172660641138,1.7411282081544416E-6,1.519008370652183,0.003945243204280469,1.033349989237789E-5,49.60857045968212,42.09616983717152,2.5699671904654404E-4,0.017589481346060205,1.7546211664418314E-4,3.277933035997607E-7
4.0,8999102.113186197,222.4873209492932,27.696863079247894,0.0025532689199056816,381.09257737121186,107.97829972266638,0.003228867746395875,0.23944532096272414,0.04375070232556591,3.3469695852245467E-6,2.366748235124521,0.004182893128461113,1.9775820270543204E-5,92.93376657345051,63.00430611776354,5.912367851724608E-4,0.03289464025569649,2.6097341345352235E-4,7.502200478817197E-7
5.0,8998675.219347708,342.9849396178179,28.050522482465922,0.0047995077632189305,590.5758534242374,113.61792709259996,0.006130813382729287,0.3710663318384633,0.046035769407774194,6.355059276610807E-6,3.6642969007672868,0.004364751700068861,3.746578386235266E-5,160.23611926305125,85.16033022566816,0.001228580661658021,0.056641414330018694,3.507658238165362E-4,1.553240956801594E-6
6.0,8998029.18037533,530.0235236390085,28.96017678374964,0.00888224965495383,913.7560729456972,118.85472023578717,0.011527927536278782,0.574124580639625,0.04815761591338318,1.1949582911119701E-5,5.666468154811778,0.004535423867300085,7.03604300883467E-5,264.4254539215135,108.38964136327763,0.0024326995327225774,0.09337758356975967,4.442169978644033E-4,3.0679561088489863E-6
7.0,8997044.971713353,819.4621399763632,30.100102561579682,0.016131111768959677,1413.236532850541,124.08749212434482,0.021370693493607006,0.8879545162986083,0.050277833084999016,2.2152366326585806E-5,8.7612399382191,0.004710175800213054,1.3031457129657973E-4,425.58940240738497,132.65537319543932,0.004679781966328391,0.15017989335712936,5.412806524235141E-4,5.891754569735777E-6
8.0,8995538.656535678,1266.991214404851,31.356654980205132,0.02881759993246634,2185.4431147954792,129.4628853767663,0.03899530828266479,1.3731417485947301,0.05245583765326488,4.0421634157737944E-5,13.546162800666272,0.00489404467639791,2.3758638611955405E-4,674.8285923759254,157.96878983044022,0.008809376000395957,0.23800472963557454,6.421051478619741E-4,1.1076723411158793E-5
9.0,8993226.134929461,1958.678419435892,32.69139842181045,0.05079494724710886,3379.2290269163777,135.03852242989237,0.07009350868187843,2.1232126443868906,0.054714977106407464,7.265730903403715E-5,20.943664718751645,0.0050885689741397636,4.267186956260211E-4,1060.2323603559466,184.35643211821213,0.016281819665635435,0.37379304397400415,7.469013733891097E-4,2.0451259311325086E-5
